iban,date,currency,category,amount
FR61 6980 0184 91HM XMWP QVSD 325,2023-01-25,CNY,Food - Condiments,2532.57
CY06 4292 0310 F5OS M7EF BPZX BBAS,2023-09-06,PHP,Pets,2227.71
DO79 507P 9068 3416 2612 5499 8219,2024-12-02,CNY,Pets,-863.18
DK78 5481 4120 5615 63,2025-02-05,EUR,Art Supplies,-2127.43
LU32 751Z IMN4 1L5K KVMS,2024-07-28,SEK,Food - Salads,2436.36
DE58 5911 9660 3234 9244 31,2020-01-02,CNY,Travel,-4333.66
FR94 5957 3765 96WW BLWC FCAI O80,2024-10-13,RUB,Food - Condiments,-1545.86
GL88 7227 4644 9574 90,2024-12-25,RUB,Food - Baking,3039.77
BA91 4121 6496 8282 8847,2020-01-27,EUR,Food - Snacks,3569.4
IS11 9450 7551 0561 0913 6037 81,2021-05-18,JPY,Food - Baking,-2124.35
BR53 9255 8903 2984 3668 9899 999V 1,2021-03-21,MDL,Garden,3627.08
FR93 4754 2415 72A7 KN2A VFDE V48,2025-06-24,IDR,Home,1787.22
IE20 XPQS 5794 0693 0980 83,2020-11-03,PHP,Toys,-364.87
ME23 5494 3822 6651 4739 90,2025-10-18,BRL,Food - Frozen Meals,1778.24
GE62 CT26 1507 1894 5932 47,2023-12-03,IDR,Kitchen,-668.7
LT08 9962 2256 2770 3836,2024-01-29,RUB,Home,412.76
PS93 JPET RDGM TZGW IB55 QW30 IXKT Z,2020-01-29,SEK,Food - Beverages,-3857.31
GL49 7795 1060 5481 42,2024-11-20,PHP,Clothing - Dresses,-66.09
FR68 5537 9505 30QA XDIY IEOH D95,2024-10-07,EUR,Office,902.09
DO48 2TWW 4264 2299 8707 8148 4610,2020-07-02,EUR,Food - Grocery,-2605.95
FR76 8758 6039 011T S84B MEKN E77,2020-02-04,JPY,Pets,671.18
CZ81 1591 4122 2662 6435 6983,2023-12-03,CNY,Food - Fresh Produce,4477.18
GB13 EQLS 5833 6683 2552 10,2023-10-24,MXN,Food - Seasonings,1224.34
NL03 WIQD 6461 1814 72,2024-07-07,IDR,Fitness,-1129.23
FR21 6248 0712 47XD KZBD URU6 P49,2024-10-13,IDR,Food - Spices,-1899.92
HR41 7428 7388 0227 4493 7,2021-06-12,CNY,Food - Frozen Foods,-2428.74
LB88 6180 2DJR 3HYR HLQP TOZY SWKI,2022-10-04,PEN,Clothing - Bottoms,2315.62
LB93 1929 TS95 FY0W OCRQ IGBT 6RON,2021-06-27,PEN,Food - Condiments,-422.45
SK50 1078 1362 2004 3902 2758,2021-02-22,RUB,Fitness,3310.42
SA24 348I 0SIZ B1QP VKQF GLVR,2020-11-08,IDR,Kitchen,2795.91
ES76 1476 3408 0268 0275 9378,2023-03-27,CNY,Garden,-1972.81
FR80 3869 4202 366W 4WBY VPDS Z29,2022-07-29,PHP,Accessories,3922.78
SK56 9942 2230 9254 0269 4773,2022-01-03,RUB,Food - Sides,919.49
FO05 6081 5979 4163 96,2022-08-06,CNY,Food - Baking,1391.78
AE93 2380 3155 4914 1593 956,2023-09-07,USD,Fitness,1926.43
GR26 6758 673M VJUY UHW1 O2UZ BRG,2022-11-15,NGN,Pets,1195.32
GT17 ZZLM R05Y KZHN XGTK 850L MM6D,2026-01-24,JPY,Food - Dairy,3092.61
FO47 9384 9259 0593 09,2024-02-06,CNY,Art Supplies,-3626.82
TN76 1369 3229 0807 6789 8302,2026-01-22,THB,Kitchen,3173.16
AZ91 TVDN VWCA X7UA YZ8V 9NMZ BFGG,2021-07-09,SEK,Travel,2853.93
SE42 9029 7132 5399 0779 8411,2020-02-04,PHP,Outdoor,-1519.0
FR80 0811 1286 90WK WTQE XXVK 097,2024-06-22,IDR,Bicycles,-2151.23
DO94 K7NX 1974 8572 5086 4999 5885,2024-07-03,USD,Kitchen,-2607.91
CH19 7472 2EKB THNL GXSW N,2023-03-26,CNY,Food - Deli,4762.2
MC44 5512 3667 98HL D1XJ GTTE 179,2020-10-08,BRL,Office,-1516.41
FR57 8098 7567 03AC 6GNB O6LC C71,2021-09-03,IDR,Kitchen,336.88
CH79 1022 6EZW AXWU SUAU Y,2021-09-17,EUR,Food - Condiments,-2750.57
ES97 0820 0465 7937 7217 4266,2022-09-27,BWP,Office,3357.06
LV85 YDAT C1SD CAEO P7KK W,2020-05-13,GTQ,Automotive,-337.81
CR30 5604 2314 2286 9940 8,2024-02-09,IDR,Food - Grains,-261.89
IS64 3489 7340 0613 6705 2817 75,2022-12-21,KGS,Pets,-1756.37
FR14 7072 7662 595R KCQY NIVK M28,2020-02-20,CNY,Food - Prepared Meals,1716.22
IL47 6610 9674 6525 3542 361,2025-07-10,PHP,Kitchen,1862.62
KW26 RWHS TVTZ CTNU HBCV HDYY EJHD OU,2021-05-27,PHP,Food - Nuts,-3673.28
GE24 MY43 5458 7579 1728 59,2023-12-22,PEN,Food - Snacks,-306.53
CH90 4444 21DO DRFA KUWG V,2024-05-05,CNY,Electronics,1077.11
FR33 9240 7208 103B M8KX FG8C M75,2023-12-01,BRL,Food - Condiments,4148.02
FR94 2334 9519 77RN 6CRX 1V4A F61,2021-10-02,SYP,Food - Frozen Foods,336.77
GE15 AT85 1785 8727 6611 39,2021-03-13,CNY,Food - Frozen,3796.61
GE12 TD57 1657 8292 8734 13,2021-06-29,OMR,Food - Condiments,1391.79
FR55 8234 5983 84TT F2YF LFPO E01,2021-07-07,EUR,Food - Frozen Foods,1263.17
GI21 XXRU K9GI ZX5M LGHN RSR,2025-04-30,BRL,Food - Frozen Meals,-4920.11
CH34 6511 9OJZ ZZWA 0RSY Q,2022-07-09,PLN,Food - Bakery,329.69
TN94 5356 0550 2142 2682 1460,2024-02-26,EUR,Food - Snacks,916.26
BH67 SWQD TTRG 5APO SG6F 3Y,2024-08-13,CZK,Home,-2979.22
LB48 2377 HPA9 GEAR NYOX SS0K 7CCQ,2023-11-09,SLL,Electronics,2916.52
MK38 183G MZAL 6PEH L70,2021-01-15,IDR,Toys,2438.14
IL63 9832 2927 5048 1422 456,2020-11-01,EUR,Food - Snacks,-1542.27
HU51 5451 7248 4481 9571 4206 9338,2021-06-22,PHP,Food - Dairy,380.71
VG17 ISKU 4687 3159 4880 1593,2021-05-16,EUR,Health,-4469.61
BH78 GMEK 0J0I BXYH GZNB RB,2023-11-18,RUB,Travel,4420.46
GL46 4763 6743 0747 16,2023-05-29,CNY,Clothing - Footwear,-3169.14
FR72 0490 9823 57BY V8GZ HEZG X54,2025-06-27,CAD,Audio,-1597.89
RS81 5817 7286 5833 0296 76,2024-10-07,ZMW,Food - Breakfast,1650.26
VG57 LGZK 2937 6365 9495 8786,2023-08-25,CNY,Kitchen,-1823.51
MR02 3493 3253 1526 2190 6386 985,2020-06-27,ZAR,Food - Meat,-4382.27
LV57 HAVH Q1CF FVMX A5YI E,2021-11-18,VND,Clothing - Outerwear,979.58
FR76 6617 8052 21WA JGVU MUR1 U71,2022-09-21,MZN,Clothing - Bottoms,-3011.81
FR35 2476 8551 12TP JVEI 7X9P L08,2025-06-20,AZN,Food - Bread,-3133.47
LT95 9433 4606 3964 9305,2020-09-11,CNY,Food - Snacks,3704.99
MT20 FTCM 1554 20ZY PYSG HBBZ DQ87 W5J,2021-11-17,CZK,Food - Condiments,3184.17
PK69 DCWD 6FHY BCIM NWNT BABE,2021-06-10,UAH,Kitchen,1142.23
FR23 2969 8204 91HU ZVZU DXC1 O01,2023-08-19,YER,Beauty,2890.78
SK25 2198 9472 1757 7372 0881,2025-10-13,IDR,Kitchen,-1292.4
LU79 4762 MYMP QEYS DCGG,2021-07-16,ARS,Accessories,-4937.79
BG87 WOKV 8366 70Y9 0SGC QG,2024-11-07,IRR,Food - Snacks,-156.6
LT63 1214 9843 5898 9783,2022-01-24,BRL,Art Supplies,-3319.51
AL75 5705 0433 LIKA MFNN FNOG QVYK,2024-07-13,CNY,Food - Dairy Alternatives,-355.01
LT20 6833 5416 7377 8826,2020-12-06,CAD,Food - Beverages,-63.25
SI87 3053 5164 6742 457,2022-08-07,EUR,Books,-3029.01
FR08 7902 7304 58VO IAJ8 DQEH 815,2020-08-25,AZN,Food - Prepared Foods,-4263.31
CH11 2124 30BP 8YCS PQNE L,2024-12-13,BRL,Home,-1372.97
MR77 1929 9438 8685 5453 7609 016,2022-11-17,EUR,Pets,1016.55
LB02 6419 DRII ELA3 ZUSM GZ5U 6R2C,2020-05-17,CNY,Food - Prepared Foods,4651.62
RS06 5789 7371 9590 9188 28,2020-06-02,COP,Outdoor,-2609.58
DO48 2TTN 4545 3740 3061 9361 0469,2024-02-06,VND,Photography,4107.57
FR34 1622 3251 51YX OQ3O JMVH S43,2022-06-19,CNY,Food - Prepared Meals,3822.61
GT72 JI5S NITV 8CXF 6PP4 FSTY PUUV,2023-05-30,UZS,Food - Dips,-973.27
TR82 2050 4QH7 7YTU XI0L CZHL OZ,2020-07-10,SYP,Food - Bakery,-3656.02
FR25 1547 3466 27IY 5D2P M3TD 733,2024-03-14,CNY,Kitchen,3032.03
NL72 WKBK 2016 3537 02,2025-11-05,PAB,Sports,-372.67
IE25 GHTA 4687 3815 8340 53,2025-10-14,HUF,Kitchen,4004.3
SK81 6609 5348 8324 2905 2206,2025-05-07,CNY,Food - Condiments,1009.23
KZ40 2842 H4XR WL86 JOFN,2025-11-25,IDR,Kitchen,1916.0
CH57 0160 4YQQ OEPO EGEM 5,2020-09-16,VND,Food - Grains,2835.79
NO31 8195 0498 467,2023-10-26,XOF,Home,4702.71
PS86 RNGG 2ILX H2XG GJV6 Y5G7 JGOA H,2022-10-25,TZS,Home,-1237.21
LU54 917Q QN7X WVSZ CLGX,2020-11-18,COP,Food - Breakfast,-1746.13
FR71 4157 0221 42GC Z6JU FUI7 O10,2024-10-05,MXN,Food - Condiments,1911.92
IT83 S740 8607 739T KCTQ PZOR OYN,2025-04-03,UAH,Food - Frozen Foods,-4706.21
GR50 8561 721R OCJI M23Z EJDS A9K,2022-07-08,PLN,Food - Meat,-2519.46
MU93 TMBB 3920 4924 2045 8447 125I FN,2023-11-28,PEN,Food - Canned Goods,-904.15
AE34 0835 7596 6457 8837 027,2021-08-21,CNY,Food - Prepared Meals,154.94
GE19 OM14 3344 1252 8042 93,2021-10-09,XAF,Food - Soups,-1931.41
FR04 5854 4283 50X4 ZIOA 3E6G 725,2022-06-10,THB,Food - Condiments,1358.28
BH62 RVIL BMEV D8B4 0J5T CF,2021-08-27,EUR,Food - Snacks,-4250.82
NL44 QRSZ 8448 5905 29,2020-07-09,DOP,Food - Household,2340.01
BA98 4691 4812 6051 8179,2025-10-01,IDR,Kitchen,-1622.47
FR74 9910 3862 87WC GUDL JZFZ I94,2022-10-13,BDT,Tools,-4679.4
LB35 9748 1RM0 JOAB D4UW HRWR YY7H,2022-02-10,BDT,Food - Deli Meats,2865.28
LU96 296Z DCNV GFMM 0SFE,2021-10-25,GBP,Pets,2387.13
FR63 8335 0816 46MV XURS MKRE J33,2022-02-06,ZAR,Food - Salads,-3102.03
LV73 QUGO TRBE OFYF BEVE C,2020-08-03,CAD,Food - Condiments,2493.66
PS76 TZZM YZHG 62DN 4CTB SDV8 XWA6 1,2024-12-24,UZS,Accessories,-1326.57
SA55 1867 8N3W SYPQ Q1FX YPIU,2023-11-27,USD,Home,16.55
BE41 7454 0569 0305,2020-11-25,MAD,Outdoor,3463.62
LB70 6097 OA9J RCWH MFFZ AS3R QCU8,2022-11-21,CNY,Fitness,130.98
FR28 9677 0295 35X4 SPH5 CVAZ 007,2022-12-22,BGN,Fitness,-2565.42
GT89 LEEI RRVN VKWB H6RN A8BI A1RK,2022-05-19,CNY,Audio,-796.05
FR92 0279 5206 02DD AUZA EK4M R88,2021-10-17,UAH,Food - Dairy,-417.18
FR98 7112 6421 57PB K61S MAMD 590,2024-08-10,IDR,Kitchen,3324.99
LB58 2167 A4UD DTSJ CH6S VATU 6MWA,2021-12-28,PLN,Food - Produce,-1896.87
MR02 3706 0743 5440 3309 3131 045,2023-01-23,BIF,Travel,3580.08
FR76 7196 6237 90JJ MS5N RUOG F39,2022-07-02,CNY,Food - Condiments,-287.49
GE02 PC73 7472 9979 6429 77,2023-10-26,BAM,Art Supplies,877.38
BR64 4073 5179 9315 7531 1326 895V U,2023-11-01,IDR,Food - Frozen Foods,3280.96
CR34 9502 7237 7880 2632 6,2023-10-05,YER,Food - Beverages,-1681.81
MT88 DJGF 5617 0DXD IBU0 OT1E ZO5S L7U,2022-11-22,CNY,Food - Marinades,1174.37
FR62 4908 1566 85UF E334 UNIH K10,2025-09-30,CNY,Food - Baking,-906.84
VG03 PVHT 7903 8451 8796 1085,2023-07-31,KPW,Fitness,-2463.73
ME62 5314 7132 4859 4071 43,2023-07-13,JPY,Food - Cereals,-647.66
BE89 5346 5348 7092,2020-04-03,CNY,Food - Bakery,1874.74
GB63 LOXY 1913 4728 2249 19,2023-06-03,RUB,Outdoor,4098.07
LT78 5961 4800 9050 9300,2021-08-20,PHP,Accessories,4351.73
NL77 ISZC 5934 6565 11,2022-09-04,RUB,Food - Vegetables,3240.17
KW35 EQMP 8Y57 XZDF FSNT 2SLH D36I CX,2020-05-14,RUB,Garden,-4503.63
LU24 872W WUKZ FKPP MCKC,2024-01-13,MUR,Kitchen,-187.24
GR50 4021 357Y TDAI YFNJ UYWS QN1,2023-12-30,SEK,Food - Beverages,3440.58
LV29 XAXE YWGR 3I26 RS9I 8,2023-11-04,IRR,Food - Snacks,-3156.93
BH83 CAJB GSVB 2ASE T8W9 RY,2024-05-27,CNY,Food - Prepared Foods,-3451.4
RO12 OIJQ MI6T WLWD DRQS VRRM,2021-12-02,CNY,Food - Grains,668.15
AE56 6823 6417 1505 8126 761,2020-07-06,CAD,Pets,1721.12
GI57 ZGTU YD3Q HRNQ ADBI LFI,2023-12-06,ETB,Home,-4529.41
MK22 421B 1AAR 79MI Y41,2021-11-23,CNY,Food - Condiments,4251.81
LV71 WQZA HPIZ 6IOP 3NVX X,2022-08-28,CNY,Food - Beverages,-3011.2
FR38 6343 7301 69RX 7BE4 1NCX 292,2021-11-15,VEF,Toys,-2406.26
SK16 3117 8537 7253 9975 7406,2023-03-16,ARS,Art Supplies,-4464.23
GT49 IXGL VDLF DRKM A5CF OXC1 UJ0G,2022-02-17,CHF,Home,2900.48
FR95 0842 4886 85VT 9B9U CJDT 141,2022-10-01,MAD,Food - Fruits,2022.75
DO90 SZJ1 2340 2757 3218 5990 6518,2023-12-04,EUR,Kitchen,-1550.12
BG92 AGGO 8614 15WY Y2EG QV,2020-11-12,EUR,Food,-4037.06
LT41 8264 9576 9125 5186,2023-06-02,CNY,Pets,2662.37
BA39 1035 3296 1561 5659,2023-04-19,RUB,Food - Condiments,778.41
FR27 2227 9972 97OR ZP7X VQEO B02,2020-11-27,COP,Toys,-2107.99
SK92 5452 1300 5457 5962 5265,2020-12-06,MGA,Food - Vegetables,-2311.38
AD52 1696 8038 RVMU HPGC QHGY,2024-12-24,SEK,Beauty,2479.9
PK57 ONLU ENXI F8RE KIX1 YRT5,2022-02-13,NIO,Food - Frozen Foods,1740.38
FR52 0683 2395 32YP T43S BTLW P21,2020-12-21,EUR,Kitchen,-4662.47
GB76 UYRF 9490 3780 6426 18,2026-01-22,EUR,Food - Condiments,1982.95
FR14 8926 5639 21WB VJWK 6GT3 N60,2024-12-25,USD,Food - Baking,-404.31
GB19 KQYW 2249 6644 5514 68,2021-03-24,UAH,Food - Snacks,2348.16
GR12 4310 978B L0CL XJED YVRP XBI,2022-08-25,USD,Pets,4657.31
KZ68 0933 QECO TXCU SG1M,2022-05-13,RUB,Home,-4926.99
EE42 6520 1170 4184 9135,2022-03-06,RUB,Fitness,1710.61
IE67 QQJK 6445 2557 9520 49,2022-05-02,BRL,Tools,-3620.9
BH69 PABX CI8G WOZQ MUCM KA,2021-02-09,JPY,Accessories,-2238.63
DO39 GU8G 1542 9714 0939 7431 7113,2021-10-07,PHP,Food - Condiments,901.62
MC75 4701 2970 65OI ZCQ5 MMJ7 B80,2021-01-29,IDR,Audio,-302.6
LT35 6548 9704 7838 9665,2025-02-10,RUB,Food - Bakery,-2084.03
PS50 EEUO ONCG 2O95 GBPJ MN5D AWCP 3,2021-01-16,THB,Food - Prepared Foods,-3789.89
GI72 IQSH DRKC PMBO ULRE THC,2022-11-30,CNY,Food - Produce,-4481.76
MU75 EOFE 0197 4195 5941 2664 154Z UY,2022-05-28,HNL,Food - Soups,2405.58
MD67 UYSV PHMX RXUI J1R5 F8MZ,2025-03-10,SEK,Food - Grains,-3169.76
IS63 9102 9640 9463 0763 6081 56,2022-10-05,CNY,Garden,194.98
MC12 3999 3665 21WV AEA6 XDOA G89,2020-04-10,XAF,Food - Beverages,1726.8
ES08 0758 5058 3429 0726 8465,2020-10-24,ETB,Kitchen,2596.4
CY06 1687 4829 LCNO BM8F HSYH XEID,2024-05-09,MXN,Home,-106.73
FR28 5399 1245 49YS RJOU UPMJ Z70,2022-04-30,MGA,Pets,-3008.48
LB51 6835 WA1C ZPJF NF1D DRSL I8TQ,2021-07-10,EUR,Food - Prepared Meals,-2511.34
FR53 3685 8994 23VF UDOO YUI4 G67,2020-01-15,EUR,Art Supplies,808.02
ME87 3686 4949 8342 2769 83,2021-03-17,PHP,Food - Snacks,749.22
MR12 0471 1933 0006 3074 0667 853,2020-12-23,AFN,Food - Produce,2540.65
IE32 RMMH 8736 1878 3798 29,2021-11-12,AUD,Travel,-2355.77
LV35 BFCE Z5QG QSFB L136 R,2024-06-04,USD,Food - Condiments,4637.72
TR05 0687 1U6N GLSA WNCE IZ3K RI,2020-10-06,USD,Audio,4167.19
IE18 LMXP 4602 1574 5100 65,2024-09-06,CNY,Clothing - Outerwear,305.92
MR74 2310 3313 8036 7647 0108 561,2020-09-19,CUP,Food - Canned Goods,1716.25
SI07 4241 1646 5180 949,2021-10-06,CNY,Kitchen,-2793.01
CR70 0130 2522 4073 1832 8,2022-03-13,MAD,Food - Vegetables,1655.35
MU88 TXJL 3865 3691 9028 2089 080Q KC,2025-08-30,IDR,Food - Dried Fruits,-3532.44
GI90 LDAG JK3N 3ISM BIHO ZJ0,2025-07-01,EUR,Pets,3865.75
FR04 6174 8217 91CZ EZ5D GW4N T65,2025-10-04,THB,Health,-2478.8
VG79 PEXD 7064 7501 8583 0384,2023-11-30,EUR,Food - Snacks,3327.33
DO76 RBKQ 3231 5487 1614 5785 4472,2024-02-04,CNY,Outdoor,4413.79
GI08 NTSX WICN 63N8 J9EB APC,2025-11-06,IDR,Bicycles,-1910.33
SE08 8172 1423 7097 5603 7573,2021-01-26,THB,Food - Beverages,4894.81
GE82 ET89 3077 7464 6746 81,2022-11-25,IDR,Fitness,-3370.22
SK94 6162 8514 4268 7286 5487,2023-09-10,UGX,Electronics,-3723.48
GT39 3RSL SFJ8 XUKU PWGF JVFQ EUIX,2021-12-09,VEF,Food - Baking,-4414.77
CY41 6555 6100 BA09 RL4M 34AQ XRNP,2024-01-31,NGN,Food - Breakfast,-4366.46
GI37 KVDA ZMUC 6N9H GPSQ IQX,2025-11-12,NZD,Food - Condiments,-2154.36
FR40 8417 6936 61ZO 1LCJ JT5L U18,2021-07-17,PHP,Outdoor,-1427.5
FR50 9335 0920 83ZC OHUJ 8KWM I32,2023-05-18,CNY,Books,162.47
BA85 7775 6973 5503 1682,2025-07-15,UAH,Home,4530.54
CR50 2270 8409 9967 2935 1,2020-01-13,AOA,Food - Condiments,4462.13
FR78 8160 6450 2280 YNWU AJ7M H57,2020-11-21,CNY,Food - Baking,836.68
DO94 XPEB 7588 6468 6389 9834 4486,2025-11-26,CNY,Food - Baking,2266.51
PL70 6726 2895 0617 0748 5286 5470,2024-05-14,IDR,Food - Frozen,2910.6
DO61 D5DU 3794 1885 5877 9440 1972,2020-05-23,NOK,Food - Beverages,1125.58
CR19 0539 9757 9557 1163 4,2022-03-18,XOF,Food - Snacks,4410.46
FO07 4232 1303 9922 10,2025-06-16,USD,Garden,2341.4
TR79 8202 09DQ RMRS NZTV 4GZL 01,2023-03-31,IDR,Fitness,2561.57
MU39 KVZF 4423 1732 0729 8563 865Z RD,2020-11-18,ETB,Garden,-3880.03
SA53 60CP ZHGJ 2JAB 2CYP YJSS,2022-06-02,IDR,Food - Breakfast Foods,474.71
FR10 6391 2326 09SO P17E YCYS L52,2024-08-14,EUR,Beauty,3007.0
FR92 9030 2150 563Y VSTN M7JF F54,2020-11-24,EUR,Food - Canned Goods,-4266.01
LB23 0398 B7KL KKIP P1VA 4P3K SO3Y,2024-03-04,ILS,Footwear,4426.53
GI56 IQWF SIX3 NC2R HJDL MS1,2020-07-11,IDR,Food - Condiments,-800.64
TN35 8081 4642 2192 1933 7053,2023-11-04,USD,Food - Pasta,1502.04
ME51 0052 3474 3522 4302 45,2022-01-20,PHP,Accessories,-523.57
FI60 1732 4240 9973 39,2021-03-27,SEK,Kitchen,-2753.73
RS28 9997 9556 6412 3847 01,2021-07-20,RUB,Safety,3503.15
GB86 WLOI 4407 0059 6765 96,2021-12-29,MMK,Food - Beverages,4810.6
DO96 CF7H 4437 1208 2583 2441 6221,2022-03-04,CNY,Kitchen,3535.35
EE81 4278 7988 0822 3605,2023-12-28,RUB,Kitchen,2548.6
ES69 1011 5192 7642 8319 5101,2025-09-19,USD,Home,-750.53
TR96 0400 9FAZ GNTB XWLK 9FHQ RM,2020-04-10,CLP,Food - Snacks,-1796.28
MT81 CRAZ 9661 9XI7 85PD 6GIU N4JQ FHT,2023-02-25,MMK,Food - Meat,-3033.15
IS14 3677 4880 9668 2422 9310 84,2022-08-16,IDR,Food - Frozen Vegetables,348.05
GE64 GT94 1695 8941 6050 13,2022-07-11,EUR,Home,-2133.91
FR22 2784 7962 41ZH CQSG BESC R19,2022-03-29,RUB,Photography,-3175.24
FR59 1115 8747 58MU JJQC 6YF5 S95,2022-05-11,TTD,Office,-447.74
AE91 4297 7034 2927 3119 661,2020-11-13,LTL,Gaming,-1849.07
GT26 PO2A KVRF QIET RVEQ 94FR S5A8,2021-04-12,RUB,Wearable Tech,3846.23
RS07 2761 3623 3374 8862 20,2022-08-06,JPY,Kitchen,-4100.68
TR72 6871 4MKN AZBH AN5Q 6BKN MZ,2022-04-07,EUR,Clothing - Outerwear,549.94
PT98 1681 5377 2858 6150 6247 9,2024-08-29,MKD,Food - Condiments,-3931.4
IS30 7669 8997 3405 3236 5077 74,2026-01-06,MKD,Clothing - Skirts,-1479.18
DO76 EBQF 4675 2799 4475 0299 1408,2020-06-10,CZK,Kitchen,-3377.01
BE05 5150 8949 0995,2021-02-05,EUR,Fitness,2260.34
FR18 9673 2812 33JS 50IK V6RA G15,2023-11-27,EUR,Food,-1592.43
FR37 8464 7396 35EH 77ID IWGZ R44,2022-08-30,EUR,Food - Dairy,3180.66
AE52 6489 9532 6746 9727 433,2022-09-04,BRL,Food - Pasta,-1708.05
MD50 EJU3 3LZP OQVZ BIBF 704K,2025-11-25,IDR,Clothing - Shirts,2303.97
FI58 7978 7712 5202 68,2025-02-20,CNY,Audio,-3538.15
NO14 2663 0611 424,2020-12-19,RSD,Food - Sauces,-4406.41
GL27 5077 2692 9070 25,2022-07-18,IDR,Baby,623.62
FR03 8384 7217 53SN ZB7P 4GNZ M80,2022-08-01,RUB,Food - Snacks,-1434.47
HR93 5255 5544 2175 4496 7,2021-11-05,NGN,Outdoor,2386.77
NL91 ATHO 0561 1199 81,2022-09-11,XPF,Pets,3198.25
BG91 WMOE 1866 26BH 5JUX QH,2020-09-08,GBP,Food - Condiments,-1271.87
FR36 0455 3963 725C TOZ3 4GTI 384,2025-12-27,EUR,Food - Snacks,2916.58
MC90 0498 8512 66AC IIAN SEY8 L65,2023-07-19,CDF,Home Improvement,-4473.08
ES40 8261 7883 0474 9665 5975,2021-02-18,MXN,Food - Beverages,1813.51
CY12 7002 5089 OLSG AW0S MN8J WHUV,2024-04-11,SEK,Pets,-908.82
CZ07 8414 0926 5475 8390 3750,2023-09-27,USD,Food - Produce,238.54
NL13 AAMV 4930 2112 22,2024-05-04,RSD,Pets,3266.33
LU49 062Z WCBD TFXC HAKL,2024-06-07,CZK,Garden,901.76
AZ43 RLQN BW9Q FFOH CARP 7NQD AN3M,2020-03-24,CNY,Food - Frozen Foods,4375.11
BR68 6496 6441 5051 6952 2949 601Q X,2022-03-13,CNY,Garden,3213.72
DO95 NWIP 2276 3009 1102 3917 9359,2024-01-30,CNY,Photography,-567.0
FR02 4098 7893 04XQ 5VRW ITEO X93,2024-07-29,PLN,Food - Snacks,-684.94
AL27 1102 1251 L7ZR ZNSD ECFN RPZC,2022-12-12,EUR,Garden,-373.55
FR61 5891 8336 92ES JAQE EPCR D22,2023-08-03,PHP,Wearable Tech,2137.16
MD04 DSO0 LOGJ IURR HLLW EKJQ,2021-04-09,PHP,Food - Snacks,4761.43
PT45 1979 0900 3479 8526 4853 1,2020-02-14,UGX,Outdoor,-272.2
GI47 VGAV ENQP MLGC ZRO7 Z0F,2021-04-26,CNY,Electronics,-1156.27
MT39 DZXZ 0370 2M3F ZW4G DOXP BATV WB5,2024-09-20,CNY,Food - Meat,2240.19
MC35 5915 6177 669T 0V4L KPT8 619,2022-09-07,NGN,Clothing - Accessories,1489.48
CH13 8678 2NBC GWKH A8Y8 J,2024-02-05,CNY,Food - Snacks,-2056.0
SA62 02RD SBNL II5E VXEH SNOT,2020-04-07,COP,Pets,3075.74
LB42 8677 UM7K UITI RO2O E1JX LJ24,2023-08-29,EUR,Food - Spices,-3072.25
AD26 9253 2211 4NNE DXW4 FGY6,2024-06-15,BRL,Outdoor,4237.2
MU87 OSHA 5832 2143 1695 8122 173Q MA,2024-12-06,CNY,Food - Cereal,467.38
LI93 8173 1QNE BKFF 7LYF K,2020-11-04,CNY,Food - Bakery,-4948.8
FR59 5172 8223 99NP KN7C 4PLO E22,2022-11-02,USD,Pets,28.08
AZ61 IBJV OBCI FGOQ V7WD Q4GD OQDP,2024-10-25,XAF,Food - Sauces,3066.77
FR02 8851 8338 33XZ U8IT 4Z7H H39,2024-02-14,SEK,Outdoor,-3694.36
TN04 4228 9227 8649 2368 6355,2024-09-22,KZT,Outdoor,-4003.67
PS25 KJBL F80A 34IM QPGN HWBO W1JA P,2025-08-11,PLN,Food - Bakery,1692.15
RS90 6798 1515 1554 1958 98,2024-08-23,PLN,Garden,4553.3
LV40 UUMF Q1KP 746Q XGIB X,2021-11-01,USD,Food - Bakery,-2743.12
FR12 1042 0606 10IK C4VN CXJB 506,2025-03-02,EUR,Food - Frozen Foods,3879.09
MD29 V5AT DB1X AESS Q9BC NPP1,2020-02-11,EUR,Kitchen,1183.62
SK07 6270 7079 2180 0972 5218,2023-10-21,CNY,Food - Beverages,-4585.73
CR16 7284 9118 5442 2904 9,2022-11-10,KMF,Food - Bakery,2686.79
LI51 7661 3NKT SW30 GWZQ 2,2020-05-13,CNY,Food - Salads,1015.74
LT82 8982 1392 2405 3523,2022-11-24,BRL,Safety,-4883.22
DO34 YMOJ 0659 6436 2639 7343 7439,2024-09-19,EUR,Garden,-4186.12
BE93 1779 3096 0965,2025-03-16,CNY,Food - Breakfast,2697.65
AT29 5059 8513 8667 8175,2020-04-02,CNY,Pets,-3318.67
DE43 5996 9160 6886 0310 01,2020-08-16,HNL,Food - Frozen Meals,2930.22
HR54 1416 2545 1735 7856 2,2020-05-07,BRL,Books,1174.33
MR88 0792 4217 5742 6290 2184 315,2022-10-18,CZK,Clothing - Activewear,-2858.58
GI58 IXRN HNSM YDLB LPEN 1IP,2023-09-26,EUR,Kitchen,-3021.96
IE21 YGMZ 8284 0915 8178 64,2020-09-06,NOK,Food - Meat,-1897.08
FR81 3391 8992 32CZ AUFA E6ML G56,2024-01-06,UZS,Food - Prepared Foods,-4834.15
